BankCode,BankName
AIIN,ALBARAKA BANK (PAKISTAN) LIMITED 
ABPA,ALLIED BANK LIMITED
AEIB,AMERICAN EXPRESS BANK LIMITED
ASCM,ASKARI BANK LTD.
BAHL,BANK AL HABIB LIMITED
ALFH,BANK ALFALAH LIMITED
KHYB,"BANK OF KHYBER, THE"
BPUN,"BANK OF PUNJAB, THE"
BOTK,"BANK OF TOKYO-MITSUBISHI UFJ, LTD.,"
BKIP,BANKISLAMI PAKISTAN LIMITED
BARC,BARCLAYS BANK PLC
BURJ,BURJ BANK LIMITED
CDCP,CENTRAL DEPOSITORY COMPANY OF PAKIS TAN LIMITED
CITI,"CITIBANK N. A., PAKISTAN"
DEUT,"DEUTSCHE BANK AG, KARACHI BRANCH"
DUIB,DUBAI ISLAMIC BANK PAKISTAN LIMITED
FAIB,FAISAL ISLAMIC BANK OF BAHRAIN
FAYS,FAYSAL BANK LIMITED
FWOM,FIRST WOMEN BANK LIMITED
HABB,HABIB BANK LIMITED 
MPBL,HABIB METROPOLITAN BANK LIMITED
OIBA,HSBC BANK OMAN S.A.O.G. (FORMERLY OMAN INTERNATIONAL BANK)
IFBL,IFIC BANK LIMITED
ICBK,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA, KARACHI BRANCH"
JSBL,JS BANK LIMITED
PLCO,KASB BANK LIMITED
MUCB,MCB BANK LIMITED
MCIB,MCB ISLAMIC BANK
MEZN,MEEZAN BANK LIMITED
NBPA,NATIONAL BANK OF PAKISTAN
NIBP,NIB BANK LIMITED
RUPB,RUPALI BANK LIMITED
MBPL,SAMBA BANK LIMITED
SILK,SILK FINANCE
PRUC,Silkbank Limited
SIND,SINDH BANK LIMITED
SMES,SME BANK LTD
SONE,SONERI BANK LIMITED
SCBL,STANDARD CHARTERED BANK (PAKISTAN) LIMITED
SBPP,STATE BANK OF PAKISTAN
BCEY,SUMMIT BANK LTD
ABNA,THE ROYAL BANK OF SCOTLAND LIMITED
TRBA,TRUST BANK LIMITED
TIBL,TRUST INVESTMENT BANK LIMITED
UNIL,UNITED BANK LIMITED
